accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_943841005.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp002683395	False	True
GCA_943841425.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815	False	True
GCA_943841635.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905478845	False	True
GCA_943841785.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815	False	True
GCA_943841945.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp943787485	False	True
GCA_943842225.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905479205	False	True
GCA_943842405.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815	False	True
GCA_943842615.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905478845	False	True
GCA_943842755.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905478845	False	True
GCA_943842785.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905479205	False	True
GCA_943843045.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp002389505	False	True
GCA_943843485.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815	False	True
GCA_943843505.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905478845	False	True
GCA_943843565.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp002390485	False	True
GCA_943843955.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp943787485	False	True
GCA_943844095.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905479205	False	True
GCA_943844855.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905478845	False	True
GCA_943844925.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815	False	True
GCA_943844975.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815	False	True
GCA_943845265.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	Undefined (Failed Quality Check)	False	True
GCA_943845335.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905478845	False	True
GCA_943845345.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp002390485	False	True
GCA_943845375.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp002389505	False	True
GCA_943845405.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815	False	True
GCA_943845505.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp002390485	False	True
GCA_943845525.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905478845	False	True
GCA_943846075.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905478845	False	True
GCA_943846175.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp009886815	False	True
GCA_947258585.1	uncultured Haliea sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Haliea; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Haliea; s__Haliea sp947258585	True	True
GCA_949372915.1	uncultured Luminiphilus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Luminiphilus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Luminiphilus; s__Luminiphilus sp905182485	False	True
GCA_949373135.1	uncultured Halioglobus sp.	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Halioglobus; s__	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halieaceae; g__Halioglobus; s__Halioglobus sp913061115	False	True
